ssnum,name,manager,dept,salary,numfriends
1,Jasmyne Johns,,,47650.19,21
2,Classie Johns,1,TechDept1,104868.0,36
3,Lutie Johns,1,,98664.84,37
4,Marques Johns,3,,116744.56,40
5,Braden Johns,4,,32884.6,47
6,Lizeth Johns,2,,58867.13,12
7,Elliana Johns,7,,50838.17,42
8,Emerald Johns,1,,91991.86,48
9,Alverda Johns,5,,38554.43,17
10,Phyllis Johns,2,,144553.33,9
11,Rashad Johns,5,,119189.95,4
12,Dangelo Johns,11,,30951.35,46
13,Irene Johns,4,TechDept1,45606.35,14
14,Ladonna Johns,8,,41141.17,38
15,Lindell Johns,8,,54960.8,0
16,Lanie Johns,12,,97259.88,34
17,Shirlee Johns,8,,31432.95,0
18,Brenton Johns,5,,46544.27,40
19,Krista Johns,5,,44960.58,12
20,Domonique Johns,17,TechDept7,58263.56,18
21,Ivan Johns,6,,92491.69,48
22,Breanna Johns,6,,103541.11,10
23,Akeelah Johns,7,,74216.34,31
24,Hershell Johns,14,,48190.75,30
25,Llewellyn Johns,15,,50015.81,50
26,Diamond Johns,12,,146192.75,20
27,Katrina Johns,11,,139555.04,20
28,Adelle Johns,27,,31685.77,44
29,Aden Johns,18,,78498.9,28
30,Lexie Johns,7,TechDept2,143631.38,21
31,Joline Johns,6,,148054.36,30
32,Tinnie Johns,2,,64460.74,34
33,Breann Johns,8,,59217.3,39
34,Rosina Johns,6,TechDept5,149361.18,9
35,Cambria Johns,7,,83665.6,48
36,Jeana Johns,11,,107987.03,20
37,Kaylah Johns,37,,106899.66,13
38,Isabell Johns,3,,142877.34,11
39,Kaylin Johns,27,,107396.48,36
40,Ellery Johns,38,,108759.79,12
41,Artis Johns,17,,72511.66,16
42,Nunzio Johns,6,,106828.99,13
43,Marry Johns,17,,106126.72,29
44,Derrek Johns,26,,62914.68,39
45,Rosetta Johns,36,,53731.98,10
46,Orland Johns,38,,108729.83,24
47,Jayleen Johns,25,,48759.23,50
48,Albertha Johns,9,,70520.99,13
49,Solomon Johns,12,,106264.92,45
50,Clydie Johns,29,,99251.3,24
51,Georgine Johns,31,,132253.02,46
52,Danette Johns,4,,84975.28,39
53,Jalynn Johns,50,,146488.01,44
54,Kayson Johns,47,,144854.74,19
55,Renada Johns,37,,35302.39,12
56,Sue Johns,46,,116795.98,7
57,Justus Johns,9,,71491.23,8
58,Alphonso Johns,3,,141632.81,27
59,Leaner Johns,4,,106152.43,33
60,Trystan Johns,6,,80723.92,38
61,Vernia Johns,33,,74156.58,13
62,Pate Johns,21,,73921.71,21
63,Rosy Johns,62,,53924.59,3
64,Tinie Johns,33,,115572.14,19
65,Chancy Johns,31,,121126.58,17
66,Armida Johns,59,,60019.95,46
67,Norma Johns,58,,93748.93,48
68,Emaline Johns,52,,130555.65,13
69,Hilario Johns,18,,68925.49,37
70,Jarret Johns,40,,48548.76,41
71,Isabela Johns,9,,55261.85,15
72,Raven Johns,68,,55699.93,36
73,Orville Johns,2,,51218.74,50
74,Eduardo Johns,73,,120062.96,28
75,Dorthey Johns,28,,51127.78,22
76,Beryl Johns,11,,117876.54,9
77,Denine Johns,28,,37989.34,9
78,Elton Johns,33,,114001.61,48
79,Berenice Johns,56,,82091.38,27
80,Vincenza Johns,35,,96894.17,25
81,Raquel Johns,77,,147198.1,15
82,Alberta Johns,45,,39064.43,38
83,Adrien Johns,54,,134953.88,16
84,Remington Johns,54,,76640.89,26
85,Miah Johns,21,,84492.32,13
86,Jada Johns,40,,99607.22,31
87,Evert Johns,4,,42847.92,15
88,Jahir Johns,62,TechDept0,137969.23,9
89,Alva Johns,10,,49149.64,13
90,Layla Johns,22,,60452.27,37
91,Commodore Johns,57,TechDept3,135037.71,35
92,Darby Johns,60,,62683.6,26
93,Dania Johns,40,,86800.26,12
94,Sumner Johns,82,,91417.24,34
95,Manuelita Johns,78,TechDept5,48975.42,25
96,Chaka Johns,87,TechDept4,83603.28,10
97,Giuliana Johns,70,,38781.75,18
98,Euna Johns,97,,78123.74,13
99,Coleman Johns,65,,104454.32,43
100,Kathrine Johns,93,,98029.33,40
101,Dane Johns,44,,86034.41,25
102,Lemon Johns,86,,108010.93,6
103,Maira Johns,57,,30823.97,34
104,Guido Johns,40,,38119.3,33
105,Olga Johns,22,,133686.38,45
106,Lew Johns,20,,88932.4,38
107,Cain Johns,68,,134221.88,12
108,Debrah Johns,30,TechDept0,95091.03,49
109,Kael Johns,106,,85495.34,30
110,Vicki Johns,32,,86169.97,1
111,Gibson Johns,107,TechDept0,118570.71,8
112,Luanne Johns,69,,142008.85,47
113,Maranda Johns,53,,41137.13,50
114,Texanna Johns,78,,125703.95,13
115,Shalonda Johns,91,TechDept1,84353.97,23
116,Nanna Johns,42,,143937.95,28
117,Harden Johns,13,,120497.04,2
118,Patric Johns,48,,103087.53,30
119,Sharron Johns,92,,60180.64,35
120,Rolla Johns,23,,110758.59,31
121,Lucille Johns,15,,122034.03,0
122,Alonza Johns,33,TechDept6,99893.45,29
123,Marcelo Johns,58,,106338.94,45
124,Amin Johns,3,,138591.9,4
125,Nikole Johns,124,,42062.49,37
126,Fate Johns,58,,126086.53,27
127,Ariana Johns,108,,40985.71,25
128,Paulette Johns,88,,126040.02,9
129,Alexys Johns,54,,38433.48,3
130,Oran Johns,128,,123350.1,25
131,Zilpha Johns,32,,114319.84,4
132,Teddie Johns,70,,76886.06,42
133,Neely Johns,126,,119831.65,50
134,Signe Johns,84,,90039.39,45
135,Derick Johns,25,,119098.04,36
136,Ruel Johns,14,,97628.2,7
137,Parlee Johns,126,,43864.55,27
138,Sheridan Johns,136,,67877.88,6
139,Pamala Johns,90,,135649.33,0
140,Tamya Johns,65,,92401.25,45
141,Jessika Johns,80,,86004.03,43
142,Arlena Johns,109,,119486.09,30
143,Leota Johns,13,,85842.01,41
144,Tavaris Johns,66,,122937.82,32
145,Abagail Johns,84,,133793.72,50
146,Dionte Johns,105,,50164.79,39
147,Hilma Johns,74,,88688.45,17
148,Mariyah Johns,148,,96010.21,5
149,Venus Johns,126,TechDept8,117624.79,44
150,Dalvin Johns,118,,103532.86,34
151,Elihu Johns,115,,64667.24,11
152,Nealie Johns,111,,147613.07,9
153,Theola Johns,18,,95241.58,14
154,Blanca Johns,44,,112312.38,6
155,Austen Johns,152,,69724.74,48
156,Laci Johns,17,,135673.38,49
157,Clay Johns,148,,141992.59,42
158,Landon Johns,52,,119081.87,50
159,Yuridia Johns,27,,89516.94,6
160,Lilie Johns,103,TechDept8,81467.68,23
161,Darell Johns,58,,128673.4,1
162,Asa Johns,65,,109253.21,13
163,Jaylin Johns,6,,49999.57,38
164,Luella Johns,92,,125020.03,20
165,Marianna Johns,35,,55417.02,44
166,Tana Johns,126,,52692.14,24
167,Skylar Johns,65,,132467.14,23
168,Iliana Johns,68,,91821.89,6
169,Ammon Johns,57,TechDept0,73755.49,20
170,Caryl Johns,162,,103985.16,18
171,Louann Johns,131,TechDept8,141342.79,40
172,Herminia Johns,121,,124573.24,0
173,Greg Johns,77,,124412.88,24
174,Juelz Johns,16,,56923.96,40
175,Manson Johns,56,,44614.07,36
176,Alijah Johns,9,,40584.22,11
177,Sharday Johns,169,,80545.2,40
178,Prosper Johns,38,,66183.33,0
179,Austin Johns,60,,100970.13,35
180,Dayana Johns,140,,72236.35,30
181,Felecia Johns,113,,135286.59,20
182,Jaycee Johns,81,,125482.01,47
183,Gabe Johns,107,,64155.46,33
184,Sienna Johns,101,,72437.75,9
185,Claudine Johns,144,,37786.42,0
186,Rebekah Johns,105,TechDept8,31666.55,6
187,Malorie Johns,142,TechDept5,93824.39,1
188,Sussie Johns,63,,102139.18,26
189,Harm Johns,150,,96395.42,31
190,Mima Johns,28,,113078.79,40
191,Estes Johns,67,,49494.45,2
192,Gabriel Johns,31,TechDept5,111704.51,32
193,Wilber Johns,31,,114914.43,48
194,Ronaldo Johns,11,,30932.48,10
195,Leonard Johns,111,TechDept2,146820.68,7
196,Bonny Johns,70,,72597.07,23
197,Knox Johns,41,,53997.1,33
198,Percival Johns,141,,72708.55,35
199,Khari Johns,103,,61889.33,35
200,Janna Johns,186,,112188.55,0
201,Medora Johns,165,,46640.14,9
202,Bedford Johns,90,,97260.63,0
203,Tyrique Johns,47,,102351.87,34
204,Walker Johns,139,,58202.78,29
205,Minta Johns,79,TechDept8,132274.19,10
206,Alyvia Johns,69,,64850.39,25
207,Alina Johns,24,TechDept0,144446.4,20
208,Barnie Johns,46,,50591.78,20
209,Nolie Johns,137,,66886.98,47
210,Bronson Johns,50,,70205.66,46
211,Beulah Johns,173,,108134.24,21
212,Mariah Johns,165,,131264.8,7
213,Aliana Johns,37,,85240.08,38
214,Florance Johns,116,,68599.52,5
215,Chadd Johns,178,,120604.22,23
216,Tori Johns,25,,110472.48,31
217,Malia Johns,22,,107800.98,12
218,Jaleesa Johns,174,,135937.1,41
219,Paralee Johns,104,,122548.02,26
220,Sullivan Johns,176,,59030.91,30
221,Camille Johns,3,,88796.97,4
222,Jackeline Johns,209,,75356.5,28
223,Waldemar Johns,167,,127792.93,40
224,Alois Johns,211,,31115.19,46
225,Gus Johns,218,,72487.21,31
226,Aryana Johns,21,,83548.34,13
227,Lindbergh Johns,227,,47581.16,20
228,Hosea Johns,176,,85303.01,32
229,Clarence Johns,118,,104037.64,49
230,Cherie Johns,153,,39340.74,23
231,Idabelle Johns,52,,37021.64,0
232,Kyra Johns,11,,137524.47,42
233,Chelsie Johns,94,,68944.36,46
234,Tim Johns,34,,80848.38,28
235,Kaylynn Johns,100,,45294.07,16
236,Alcee Johns,71,,46909.82,50
237,Cornell Johns,161,,107229.81,38
238,Verner Johns,182,,120711.33,6
239,Lillard Johns,6,,92590.92,45
240,Brittny Johns,149,,82206.25,4
241,Trae Johns,98,,54508.04,11
242,Kathie Johns,97,TechDept7,81307.19,38
243,Maryellen Johns,226,,78174.95,47
244,Patrick Johns,196,,46937.05,26
245,Keyla Johns,86,,124204.34,37
246,Tyree Johns,154,,43515.76,36
247,Gerda Johns,57,,87302.63,21
248,Annika Johns,123,TechDept8,125995.98,23
249,Caitlyn Johns,192,,130736.1,31
250,Crete Johns,73,,62891.6,25
251,Tabetha Johns,210,,40570.0,18
252,Mattye Johns,212,,32711.06,45
253,Catharine Johns,118,TechDept4,39395.44,47
254,Severt Johns,19,,149890.95,36
255,Omari Johns,90,,68018.66,23
256,Gaynell Johns,209,,72078.1,3
257,Carlyn Johns,191,,77530.33,32
258,Shayne Johns,44,,103875.89,47
259,Jamie Johns,243,,71132.53,20
260,Ferrell Johns,32,,148194.59,9
261,Lonna Johns,38,,117053.13,44
262,Henderson Johns,70,,46501.38,17
263,Brandy Johns,198,,49649.21,0
264,Bettina Johns,2,,79353.29,22
265,Elon Johns,178,,141510.76,50
266,Elian Johns,94,,128157.98,43
267,Erin Johns,266,,50482.06,27
268,Shanda Johns,122,,97506.05,7
269,Foster Johns,179,,39920.96,24
270,Travon Johns,159,,36286.19,29
271,Daisye Johns,153,,33957.72,0
272,Terrill Johns,134,,45972.9,5
273,Gail Johns,55,,88089.33,12
274,Margarett Johns,143,,46433.55,26
275,Green Johns,243,,78046.46,12
276,Madonna Johns,62,TechDept2,36514.25,16
277,Louella Johns,218,,72011.44,27
278,Jamarcus Johns,262,,115415.7,30
279,Purl Johns,17,,117114.79,24
280,Sean Johns,65,,42724.75,7
281,Arvo Johns,248,TechDept0,146595.49,37
282,Antonette Johns,246,,80152.86,0
283,Nora Johns,198,,71776.73,22
284,Ewald Johns,124,,96132.98,20
285,Shannen Johns,42,,62859.55,46
286,Pranav Johns,111,TechDept2,53978.59,33
287,Elois Johns,119,,96482.7,50
288,Delmus Johns,114,,107813.17,47
289,Liller Johns,129,,70769.21,12
290,Mikeal Johns,56,,123175.84,30
291,Zoie Johns,42,,55721.36,16
292,Simon Johns,92,,91663.54,41
293,Gilda Johns,57,,135964.92,5
294,Alfonso Johns,29,,147050.05,34
295,Sherryl Johns,178,,30743.38,45
296,Malissa Johns,247,,66977.51,7
297,Theresia Johns,227,,49303.98,24
298,Tory Johns,112,,71414.15,20
299,Jaqueline Johns,297,,77652.05,20
300,Pink Johns,161,,93669.54,29
301,Odus Johns,97,,72656.45,9
302,Elba Johns,98,,145949.6,18
303,Yvette Johns,58,,54400.47,22
304,Erick Johns,80,,123561.3,38
305,Bebe Johns,268,,131780.58,36
306,Ruffus Johns,180,,46116.83,42
307,Aiyana Johns,196,,30831.42,34
308,Jeptha Johns,20,,113299.97,37
309,Louanna Johns,59,,39972.43,28
310,Percy Johns,96,,59947.93,8
311,Roberto Johns,273,,63291.03,39
312,Jesica Johns,113,TechDept4,143493.88,37
313,Mirtie Johns,202,,97326.31,2
314,Braylen Johns,246,,104764.79,19
315,Nim Johns,228,,95572.62,18
316,Giovanna Johns,170,,83584.43,2
317,Natalee Johns,168,,130588.7,48
318,Manford Johns,155,,103240.55,0
319,Floy Johns,132,,41579.08,24
320,Valorie Johns,259,,131956.87,8
321,Lorene Johns,18,,136480.47,0
322,Kristi Johns,78,TechDept5,41312.4,8
323,Georgiana Johns,164,,30897.64,26
324,Jaidyn Johns,154,,83652.47,39
325,Selma Johns,114,,56053.55,44
326,Doll Johns,137,,51549.22,17
327,Tuan Johns,131,,80014.34,22
328,Genevieve Johns,138,,135758.13,15
329,Gayla Johns,47,,61131.94,9
330,Nels Johns,111,,43289.77,36
331,Theodora Johns,198,TechDept6,45992.37,3
332,Mal Johns,169,,31678.97,12
333,Hartley Johns,214,,123393.63,34
334,Jacky Johns,102,,133795.47,32
335,Elick Johns,169,,51602.91,48
336,Hoke Johns,296,,70679.6,39
337,Damaris Johns,267,,51698.19,27
338,Moody Johns,49,,140162.56,3
339,Kiana Johns,36,,106860.29,0
340,Cherelle Johns,220,,31036.05,29
341,Dotty Johns,5,,57552.55,7
342,Nannette Johns,299,,70980.5,31
343,Sophia Johns,64,,32077.01,20
344,Renata Johns,342,,108261.03,32
345,Norris Johns,190,,70620.43,35
346,Harding Johns,277,,105337.44,21
347,Jamaal Johns,107,,114180.21,7
348,Artelia Johns,250,,101160.12,0
349,Octavia Johns,43,,128864.26,20
350,Roddy Johns,125,,42940.6,44
351,Arman Johns,34,,125929.13,43
352,Robb Johns,160,,60619.67,8
353,Miracle Johns,328,,73538.52,3
354,Dana Johns,329,,107539.94,25
355,Yuliana Johns,273,,85370.43,5
356,Babette Johns,84,,90601.67,48
357,Vara Johns,61,,89401.88,48
358,Jerimy Johns,278,,94286.42,47
359,Syble Johns,289,TechDept0,78889.02,35
360,Palma Johns,162,TechDept3,136188.01,1
361,Rosalinda Johns,11,,31138.41,46
362,Jerrold Johns,28,,65792.86,39
363,Cassie Johns,350,,38407.25,35
364,Estefany Johns,8,,105448.87,1
365,Michale Johns,125,,57075.57,1
366,Josette Johns,190,,139597.56,20
367,Blaze Johns,88,,58704.07,38
368,Muhammad Johns,300,,67994.29,19
369,Arjun Johns,124,,112157.68,15
370,Joette Johns,286,,108427.77,22
