ssnum,name,course,grade
1,Aleah Bergstrom,Physics,4.1
2,Romeo Bergstrom,Physics,2.41
3,Adria Bergstrom,Math,3.89
4,Edris Bergstrom,Physics,1.02
5,Aliya Bergstrom,Chemistry,1.34
6,Roni Bergstrom,Computer Science,2.52
7,Maiya Bergstrom,Chemistry,1.66
8,Anitra Bergstrom,Math,3.37
9,Myer Bergstrom,Chemistry,1.21
10,Mavis Bergstrom,Chemistry,3.98
11,Devan Bergstrom,Biology,3.75
12,Mandi Bergstrom,Biology,3.33
13,Bryan Bergstrom,Chemistry,3.58
14,Loran Bergstrom,Physics,3.86
15,Risa Bergstrom,Biology,1.15
16,Martha Bergstrom,Biology,3.49
17,Eller Bergstrom,Computer Science,2.28
18,Kaci Bergstrom,Computer Science,2.15
19,Alison Bergstrom,Chemistry,3.96
20,Tyra Bergstrom,Computer Science,4.5
21,Kara Bergstrom,Physics,4.22
22,Jamil Bergstrom,Computer Science,1.19
23,Emely Bergstrom,Physics,2.78
24,Jemal Bergstrom,Biology,4.15
25,Caiden Bergstrom,Biology,2.17
26,Brodie Bergstrom,Computer Science,4.38
27,Ogden Bergstrom,Math,3.27
28,Shanna Bergstrom,Math,2.45
29,Nello Bergstrom,Math,3.52
30,Frona Bergstrom,Physics,2.03
31,Sarrah Bergstrom,Biology,3.24
32,Kendra Bergstrom,Chemistry,4.98
33,Amelie Bergstrom,Physics,1.96
34,Lon Bergstrom,Physics,1.18
35,Pascal Bergstrom,Physics,3.68
36,Nestor Bergstrom,Physics,2.92
37,Denis Bergstrom,Chemistry,2.86
38,Avery Bergstrom,Physics,2.86
39,Gerard Bergstrom,Math,1.1
40,Tonja Bergstrom,Computer Science,4.33
41,Lillie Bergstrom,Chemistry,4.58
42,Javier Bergstrom,Math,1.68
43,Wylie Bergstrom,Physics,2.26
44,Perla Bergstrom,Math,4.54
45,Shamar Bergstrom,Biology,4.57
46,Savana Bergstrom,Chemistry,2.06
47,Keifer Bergstrom,Chemistry,1.39
48,Deneen Bergstrom,Chemistry,4.4
49,Nanna Bergstrom,Chemistry,4.85
50,Otis Bergstrom,Chemistry,2.57
51,Jimena Bergstrom,Math,2.57
52,Jeff Bergstrom,Math,1.84
53,Jerrod Bergstrom,Computer Science,4.77
54,Kash Bergstrom,Biology,3.8
55,Canyon Bergstrom,Computer Science,2.04
56,Long Bergstrom,Biology,3.81
57,Angele Bergstrom,Physics,3.37
58,Julien Bergstrom,Chemistry,4.1
59,Donat Bergstrom,Biology,2.72
60,Jarvis Bergstrom,Chemistry,2.88
61,Kunta Bergstrom,Biology,4.24
62,Essa Bergstrom,Chemistry,3.55
63,Ethen Bergstrom,Chemistry,1.56
64,Dorris Bergstrom,Computer Science,1.46
65,Neil Bergstrom,Biology,1.54
66,Calla Bergstrom,Computer Science,2.29
67,Kane Bergstrom,Computer Science,1.77
68,Waymon Bergstrom,Math,2.39
69,Jamir Bergstrom,Physics,2.43
70,Kade Bergstrom,Computer Science,1.32
71,Avah Bergstrom,Chemistry,2.57
72,Donia Bergstrom,Physics,2.87
73,Garth Bergstrom,Physics,3.78
74,Marcy Bergstrom,Chemistry,1.27
75,Dedric Bergstrom,Computer Science,2.59
76,Will Bergstrom,Chemistry,1.11
77,Tawny Bergstrom,Physics,4.19
78,Keagan Bergstrom,Physics,1.82
79,Merri Bergstrom,Math,1.16
80,Tracie Bergstrom,Computer Science,1.82
81,Daisey Bergstrom,Computer Science,2.23
82,Imo Bergstrom,Computer Science,3.35
83,Denny Bergstrom,Chemistry,1.38
84,Rupert Bergstrom,Chemistry,3.46
85,Jerad Bergstrom,Computer Science,4.26
86,Leonie Bergstrom,Biology,2.81
87,Karla Bergstrom,Math,1.18
88,Tatia Bergstrom,Biology,1.76
89,Adolfo Bergstrom,Physics,2.79
90,Pranav Bergstrom,Computer Science,3.67
91,Shelli Bergstrom,Biology,4.81
92,Bryton Bergstrom,Computer Science,4.17
93,Edyth Bergstrom,Computer Science,1.84
94,Hilah Bergstrom,Computer Science,1.59
95,Sharyn Bergstrom,Computer Science,1.32
96,Denver Bergstrom,Biology,1.84
97,Ennis Bergstrom,Physics,3.2
98,Ann Bergstrom,Chemistry,2.86
99,Miesha Bergstrom,Computer Science,3.2
100,Renata Bergstrom,Computer Science,1.97
101,Olan Bergstrom,Physics,3.96
102,Delcie Bergstrom,Biology,2.03
103,Kamden Bergstrom,Physics,4.05
104,Maudie Bergstrom,Computer Science,4.28
105,Garett Bergstrom,Chemistry,4.19
106,Ashli Bergstrom,Chemistry,1.02
107,Joseph Bergstrom,Math,3.41
108,Aditya Bergstrom,Physics,3.87
109,Jaleel Bergstrom,Computer Science,2.57
110,Gillie Bergstrom,Math,3.23
111,Nella Bergstrom,Physics,4.25
112,Siddie Bergstrom,Math,1.86
113,Eddy Bergstrom,Physics,1.69
114,Dottie Bergstrom,Chemistry,4.42
115,Nelie Bergstrom,Chemistry,2.35
116,Lennie Bergstrom,Math,1.56
117,Birt Bergstrom,Biology,1.49
118,Debera Bergstrom,Chemistry,2.54
119,Grayce Bergstrom,Biology,1.3
120,Gayle Bergstrom,Physics,1.16
121,Enola Bergstrom,Computer Science,3.69
122,Kindra Bergstrom,Biology,3.28
123,Lisa Bergstrom,Physics,3.15
124,Tyrese Bergstrom,Physics,4.21
125,Dallin Bergstrom,Biology,4.45
126,Judson Bergstrom,Computer Science,4.29
127,Nolie Bergstrom,Math,2.39
128,Alyce Bergstrom,Math,4.9
129,Odie Bergstrom,Chemistry,2.1
130,Kiel Bergstrom,Biology,4.43
131,Krysta Bergstrom,Biology,3.38
132,Ignatz Bergstrom,Chemistry,3.73
133,Greg Bergstrom,Math,3.68
134,Zula Bergstrom,Computer Science,3.8
135,Kem Bergstrom,Math,1.21
136,Elma Bergstrom,Math,4.17
137,Harris Bergstrom,Biology,1.38
138,Kesha Bergstrom,Biology,1.33
139,Henri Bergstrom,Biology,3.47
140,Garvin Bergstrom,Computer Science,2.25
141,Mintie Bergstrom,Math,1.72
142,Cain Bergstrom,Math,3.32
143,Karol Bergstrom,Chemistry,1.41
144,Sable Bergstrom,Math,2.31
145,Jerry Bergstrom,Biology,3.4
146,Nyree Bergstrom,Physics,1.97
147,Cosmo Bergstrom,Chemistry,4.74
148,Hardin Bergstrom,Physics,4.33
149,Garner Bergstrom,Math,3.57
150,Esau Bergstrom,Biology,3.26
151,Beau Bergstrom,Computer Science,1.13
152,Junia Bergstrom,Computer Science,4.51
153,Beda Bergstrom,Math,1.78
154,Lowell Bergstrom,Chemistry,4.7
155,Eris Bergstrom,Computer Science,4.02
156,Davin Bergstrom,Biology,3.43
157,Dorla Bergstrom,Math,1.48
158,Reilly Bergstrom,Chemistry,4.35
159,Benard Bergstrom,Physics,3.49
160,Woody Bergstrom,Math,4.25
161,Vennie Bergstrom,Biology,4.78
162,Waylon Bergstrom,Math,1.66
163,Yosef Bergstrom,Physics,4.11
164,Arlo Bergstrom,Physics,3.3
165,Elise Bergstrom,Chemistry,2.98
166,Willow Bergstrom,Computer Science,2.4
167,Mindy Bergstrom,Chemistry,3.15
168,Manson Bergstrom,Biology,4.17
169,Westin Bergstrom,Physics,2.09
170,Derick Bergstrom,Chemistry,3.93
171,Austin Bergstrom,Computer Science,4.95
172,Rodger Bergstrom,Computer Science,1.43
173,Thresa Bergstrom,Chemistry,4.13
174,Jaron Bergstrom,Math,3.23
175,Conway Bergstrom,Computer Science,1.4
176,Cordia Bergstrom,Computer Science,3.0
177,Yehuda Bergstrom,Chemistry,3.01
178,Jules Bergstrom,Math,4.18
179,Dion Bergstrom,Physics,1.18
180,Ted Bergstrom,Biology,1.77
181,Abdul Bergstrom,Physics,4.6
182,Sky Bergstrom,Computer Science,2.06
183,Holden Bergstrom,Math,1.45
184,Micah Bergstrom,Chemistry,3.62
185,Djuana Bergstrom,Math,1.33
186,Moriah Bergstrom,Math,3.39
187,Fawn Bergstrom,Chemistry,3.82
188,Wendy Bergstrom,Computer Science,2.17
189,Jeffry Bergstrom,Chemistry,1.35
190,Bethzy Bergstrom,Math,4.66
191,Luda Bergstrom,Chemistry,2.18
192,Orah Bergstrom,Physics,2.01
193,Dannie Bergstrom,Biology,2.4
194,China Bergstrom,Chemistry,4.1
195,Miller Bergstrom,Chemistry,2.08
196,Masao Bergstrom,Physics,3.71
197,Franz Bergstrom,Physics,3.84
198,Palma Bergstrom,Computer Science,1.86
199,Yadiel Bergstrom,Computer Science,4.89
200,Ruie Bergstrom,Chemistry,2.05
201,Vicki Bergstrom,Computer Science,4.26
202,Garret Bergstrom,Computer Science,3.07
203,Jody Bergstrom,Biology,2.25
204,Gusta Bergstrom,Math,2.16
205,Darwin Bergstrom,Physics,3.24
206,Page Bergstrom,Physics,2.91
207,Cleave Bergstrom,Biology,2.7
208,Tosha Bergstrom,Biology,4.51
209,Tyesha Bergstrom,Biology,2.44
210,Marvel Bergstrom,Chemistry,3.15
211,Debbi Bergstrom,Chemistry,1.75
212,Zoa Bergstrom,Chemistry,2.6
213,Kenya Bergstrom,Physics,2.89
214,Kadyn Bergstrom,Chemistry,4.83
215,Ottie Bergstrom,Chemistry,1.75
216,Marcos Bergstrom,Biology,3.07
217,Sheri Bergstrom,Computer Science,4.56
218,Cesar Bergstrom,Chemistry,2.36
219,Missy Bergstrom,Biology,2.47
220,Ember Bergstrom,Math,4.96
221,Angelo Bergstrom,Chemistry,1.48
222,Iola Bergstrom,Chemistry,3.89
223,Jayden Bergstrom,Biology,2.63
224,Avis Bergstrom,Math,2.13
225,Eston Bergstrom,Chemistry,4.49
226,Infant Bergstrom,Computer Science,3.61
227,Alani Bergstrom,Physics,1.01
228,Noemi Bergstrom,Physics,2.62
229,Pearly Bergstrom,Chemistry,3.25
230,Mercer Bergstrom,Chemistry,2.94
231,Louis Bergstrom,Computer Science,3.14
232,Jill Bergstrom,Biology,1.1
233,Kya Bergstrom,Computer Science,2.0
234,Olive Bergstrom,Biology,4.38
235,Mike Bergstrom,Computer Science,1.43
236,Lempi Bergstrom,Biology,4.8
237,Tammi Bergstrom,Physics,1.76
238,Aili Bergstrom,Computer Science,1.51
239,Daisye Bergstrom,Physics,4.85
240,Adrain Bergstrom,Math,4.98
241,Frieda Bergstrom,Chemistry,1.76
242,King Bergstrom,Math,3.83
243,Taina Bergstrom,Physics,2.33
244,Glinda Bergstrom,Biology,3.25
245,Stan Bergstrom,Math,3.64
246,Leone Bergstrom,Biology,3.24
247,Nita Bergstrom,Chemistry,3.55
248,Tisa Bergstrom,Computer Science,4.62
249,Green Bergstrom,Physics,2.59
250,Allene Bergstrom,Math,2.76
251,Shelbi Bergstrom,Physics,1.12
252,Edson Bergstrom,Computer Science,2.39
253,Alyvia Fay,Physics,2.86
254,Florence Fay,Chemistry,2.57
255,Jack Fay,Physics,1.8
256,Bina Fay,Computer Science,2.97
257,Lesia Fay,Biology,4.78
258,Auston Fay,Computer Science,1.06
259,Baylie Fay,Computer Science,2.76
260,Bernice Fay,Chemistry,2.29
261,Lavern Fay,Biology,1.16
262,Barrie Fay,Biology,1.6
263,Shelton Fay,Physics,1.01
264,Andria Fay,Chemistry,4.14
265,Fitzgerald Fay,Physics,1.32
266,Dylon Fay,Computer Science,2.51
267,Lynne Fay,Chemistry,2.72
268,Winfred Fay,Math,1.5
269,Lalla Fay,Math,3.51
270,Lewis Fay,Chemistry,3.7
271,Lambert Fay,Chemistry,2.58
